Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
258,28,2125.38,2.763,9.94,21.13,92,2712,1,MG112,Granby
259,28,2060.99,2.763,4.44,9.15,36,1981.5,1,MG112,Granby
260,28,2060.99,2.763,11.12,22.92,90,2833,1,MG112,Granby
261,28,2261.3,2.763,6.55,14.55,82,2078.75,0,MG112,Granby
262,28,2064,2.763,10.03,20.69,82,2569,1,MG112,Granby
263,28,2028,2.763,5.02,10.17,38,2059,1,MG112,Granby
264,28,2183.1,2.763,3.14,6.98,33,1954,0,MG112,Granby
265,28,2290.3,2.763,4.65,10.32,62,2037.95,0,MG112,Granby
266,29,2241.9,2.788,4.66,10.46,53,2075.8,0,MG112,Sherbrooke
267,29,2277.7,2.788,5.44,12.39,68,2118.95,0,MG112,Sherbrooke
268,29,2263.6,2.788,5.95,13.47,72,2175.7,0,MG112,Sherbrooke
269,29,2280.9,2.788,7.24,16.51,91,2281.35,0,MG112,Sherbrooke
270,29,2285.2,2.788,4.12,9.42,52,2004.2,0,MG112,Sherbrooke
271,29,2248.7,2.788,6.18,13.91,72,2145.75,0,MG112,Sherbrooke
272,30,1802.8,2.707,5.29,9.54,29,2054.2,0,MG112,Victoriaville
273,30,1840,2.707,7.71,14.19,44,2168.25,0,MG112,Victoriaville
274,30,1864.8,2.707,9.77,18.22,59,2271.65,0,MG112,Victoriaville
275,30,1841.9,2.707,12.93,23.81,75,2496.7,0,MG112,Victoriaville
276,30,1861.6,2.707,13.28,24.72,79,2532.8,0,MG112,Victoriaville
277,30,1933.2,2.707,10.53,20.35,71,2554.95,0,MG112,Victoriaville
278,30,1947.2,2.707,12.67,24.67,88,2609.9,0,MG112,Victoriaville
279,31,2198.5,2.707,5.25,11.55,61,2032.8,0,MG112,Sherbrooke
280,31,2210.8,2.707,6.67,14.74,80,2314.45,0,MG112,Sherbrooke
281,31,2174,2.707,8.76,19.05,97,2634.2,0,MG112,Sherbrooke
282,32,1672.9,2.677,7.02,11.75,31,2079.5,0,MG112,Drumondville
283,32,1660.5,2.677,9.26,15.37,40,2201,0,MG112,Drumondville
284,32,1689.3,2.677,12.11,20.46,55,2380,0,MG112,Drumondville
285,32,1703,2.677,17.04,29.01,80,2603.5,0,MG112,Drumondville
286,32,1728,2.677,14.03,24.24,68,2554,1,MG112,Drumondville
